pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Ártico,Pacífico,4
¿En qué año cayó el Muro de Berlín?,1987,1989,1991,1993,2
¿Quién escribió “La Odisea”?,Homero,Sócrates,Platón,Virgilio,1
¿Qué país tiene forma de bota en el mapa?,España,Grecia,Italia,Portugal,3
¿Cuál es el elemento químico con símbolo 'O'?,Oro,Oxígeno,Osmio,Óxido,2
¿Quién pintó “La última cena”?,Rafael,Leonardo da Vinci,Donatello,Michelangelo,2
¿Cuál es el país con más habitantes del mundo?,India,Rusia,Estados Unidos,China,4
¿Qué instrumento mide los terremotos?,Anemómetro,Barómetro,Sismógrafo,Higrómetro,3
¿En qué continente está ubicado Egipto?,Europa,Asia,África,Oceanía,3
¿Cuántos colores tiene el arcoíris?,5,6,7,8,3
¿Qué animal es el más grande del mundo?,Elefante azul,Ballena azul,Tiburón blanco,Orca,2
¿Quién fue el primer hombre en pisar la Luna?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,1
¿En qué país se inventó el papel?,India,China,Egipto,Grecia,2
¿Cuál es el idioma más hablado en el mundo?,Inglés,Español,Hindi,Chino mandarín,4
¿Cuál es la capital de Canadá?,Toronto,Ottawa,Montreal,Vancouver,2
¿Qué planeta es el más cercano al Sol?,Venus,Marte,Saturno,Mercurio,4
¿De qué país es originario el sushi?,Corea del Sur,Tailandia,China,Japón,4
¿Cuántas patas tiene una araña?,6,8,10,12,2
¿Qué gas es esencial para la respiración humana?,Nitrógeno,Oxígeno,Carbono,Helio,2
¿En qué año comenzó la Primera Guerra Mundial?,1905,1914,1918,1920,2
¿Qué país tiene la mayor cantidad de pirámides?,Egipto,México,Sudán,Irán,3
¿Quién formuló las leyes del movimiento?,Einstein,Galileo,Newton,Kepler,3
¿Cuál es el río más largo de Asia?,Ganges,Amur,Yangtsé,Tigris,3
¿Quién escribió “Crimen y castigo”?,Tolstói,Dostoievski,Pushkin,Chejov,2
¿En qué país se encuentra el Monte Kilimanjaro?,Tanzania,Uganda,Kenya,Sudáfrica,1
¿Qué elemento tiene el símbolo químico 'Na'?,Nitrógeno,Sodio,Neón,NioBio,2
¿Qué país fue sede de los Juegos Olímpicos 2008?,Brasil,Alemania,China,Australia,3
¿Cuál es la capital de Islandia?,Oslo,Reykjavik,Helsinki,Estocolmo,2
¿Quién fue el autor de “1984”?,Aldous Huxley,George Orwell,Ray Bradbury,Kurt Vonnegut,2
¿Qué ave puede imitar la voz humana?,Búho,Cotorra,Cuervo,Loro,4
¿En qué país se inventó el ajedrez?,Grecia,India,Egipto,China,2
¿Cuántos dientes tiene un adulto promedio?,28,30,32,36,3
¿En qué parte del cuerpo se encuentra el estribo?,Pie,Mano,Oído,Nariz,3
¿Qué filósofo dijo “Solo sé que no sé nada”?,Platón,Aristóteles,Sócrates,Descartes,3
¿Cuál es el país más joven del mundo?,Kosovo,Timor Oriental,Palestina,Sudán del Sur,4
¿Qué científico desarrolló la tabla periódica?,Bohr,Thomson,Mendeleiev,Rutherford,3
¿Qué océano baña las costas de Perú?,Atlántico,Índico,Pacífico,Ártico,3
¿Quién descubrió América?,Cristóbal Colón,Américo Vespucio,Magallanes,Hernán Cortés,1
¿Qué continente tiene más países?,Europa,África,Asia,América,2
¿En qué año se fundó la ONU?,1919,1945,1951,1939,2
¿Cuál es el único planeta que gira de este a oeste?,Venus,Urano,Marte,Júpiter,1
¿Qué gas se libera al hervir agua?,Oxígeno,Vapor de agua,Nitrógeno,Hidrógeno,2
¿Quién pintó “El grito”?,Munch,Van Gogh,Picasso,Kandinsky,1
¿Qué deporte practica Novak Djokovic?,Tenis,Fútbol,Golf,Rugby,1
¿Dónde se encuentra la Gran Muralla?,China,Japón,Corea del Sur,Tailandia,1
¿Qué país tiene forma de dragón en su bandera?,Bhután,Nepal,Mongolia,Bután,1
¿Cuántos lados tiene un heptágono?,5,6,7,8,3
¿Quién es el dios principal del Olimpo?,Hades,Poseidón,Zeus,Ares,3
¿Cuál es el país más grande de África?,Nigeria,Argelia,Egipto,Sudáfrica,2
¿Qué animal es considerado el más inteligente?,Delfín,Perro,Pulpo,Orangután,1
¿Cuál es la capital de Suiza?,Zúrich,Berna,Ginebra,Lucerna,2
¿En qué país está el desierto del Sahara?,Marruecos,Níger,Argelia,Ninguno,4
¿Qué órgano filtra la sangre en el cuerpo?,Corazón,Hígado,Riñón,Pulmón,3
¿Quién fue el primer ser vivo en el espacio?,Ham,Laika,Belka,Artemis,2
¿Qué significa “www” en una dirección web?,World Wide Web,Web With Words,Wide Web Way,World Web Way,1
¿Qué escritor creó a Sherlock Holmes?,Agatha Christie,Arthur Conan Doyle,Stephen King,Edgar Allan Poe,2
¿Qué país inventó la pólvora?,Alemania,India,China,Rusia,3
¿Cuál es el número atómico del carbono?,6,8,12,14,1
¿Cuántos anillos hay en la bandera olímpica?,4,5,6,7,2
¿Qué instrumento se usa para medir temperatura?,Termómetro,Higrómetro,Barómetro,Altímetro,1
¿En qué país nació Beethoven?,Austria,Alemania,Francia,Italia,2
¿Qué célula transporta oxígeno en la sangre?,Plaquetas,Glóbulos blancos,Glóbulos rojos,Linfocitos,3
¿Cuál es el lago más profundo del mundo?,Titicaca,Baikal,Vostok,Superior,2
¿Qué civilización construyó Machu Picchu?,Aztecas,Mayas,Incas,Toltecas,3
¿Quién es el autor de “El Principito”?,Saint-Exupéry,Verne,Orwell,Bradbury,1
¿De qué país proviene el flamenco?,Italia,España,Portugal,México,2
¿Qué es un “tsunami”?,Tormenta de arena,Marea roja,Tormenta tropical,Ola gigante,4
¿Quién inventó la bombilla eléctrica?,Tesla,Edison,Franklin,Faraday,2
¿Qué país es famoso por la Torre Eiffel?,España,Italia,Francia,Alemania,3
¿Qué parte del cuerpo controla el equilibrio?,Pulmón,Cerebelo,Corteza,Oído,2
¿Qué país tiene como capital a Seúl?,Japón,China,Corea del Sur,Filipinas,3
¿Quién escribió “Cien años de soledad”?,Pablo Neruda,Gabriel García Márquez,Mario Vargas Llosa,Isabel Allende,2
¿En qué continente está el río Nilo?,Asia,África,Europa,Oceanía,2
¿Qué país tiene el mayor número de hablantes de español?,España,México,Argentina,Colombia,2
¿Cuál es el planeta más caliente del sistema solar?,Mercurio,Venus,Marte,Júpiter,2
¿Quién pintó “La noche estrellada”?,Dalí,Van Gogh,Monet,Picasso,2
¿Qué científico desarrolló la teoría del Big Bang?,Lemaitre,Einstein,Planck,Newton,1
¿Dónde se encuentran las ruinas de Petra?,Irak,Jordania,Israel,Turquía,2
¿Cuál es el animal más venenoso del mundo?,Cobra,Medusa caja,Rana dardo dorado,Escorpión de muerte rápida,2
¿En qué país se encuentra la ciudad de Dubrovnik?,Italia,Grecia,Croacia,Eslovenia,3
¿Quién escribió “El nombre de la rosa”?,Umberto Eco,Dan Brown,Jorge Luis Borges,Italo Calvino,1
¿Qué mineral es el más duro según la escala de Mohs?,Cuarzo,Diamante,Topacio,Zafiro,2
¿Cuántos huesos tiene el cuerpo humano adulto?,200,206,210,214,2
¿Dónde se originaron los Juegos Olímpicos?,Italia,Grecia,Francia,Turquía,2
¿Qué país es famoso por sus molinos de viento y tulipanes?,Alemania,Bélgica,Países Bajos,Suiza,3
¿Quién escribió “Fausto”?,Goethe,Shakespeare,Tolstói,Cervantes,1
¿Cuál es el desierto más árido del mundo?,Sahara,Atacama,Sonora,Gobi,2
¿Qué unidad mide la intensidad de la corriente eléctrica?,Voltio,Watt,Amperio,Ohm,3
¿Qué país tiene el mayor número de usuarios de internet?,India,EE.UU.,Brasil,China,4
¿En qué océano está el Triángulo de las Bermudas?,Pacífico,Índico,Atlántico,Ártico,3
¿Quién es el autor de “Ulises”?,T. S. Eliot,James Joyce,Hemingway,Fitzgerald,2
¿En qué país se encuentran las cataratas Victoria?,Kenia,Zimbabue,Nigeria,Tanzania,2
¿Cuál es el símbolo químico del plomo?,Pb,Pt,Pl,Pd,1
¿Qué país tiene la mayor cantidad de premios Nobel?,Alemania,Rusia,Estados Unidos,Reino Unido,3
¿En qué año se estrenó “Titanic”?,1995,1997,1999,2000,2
¿Qué compositor es conocido por su Novena Sinfonía?,Mozart,Beethoven,Chopin,Bach,2
¿Quién fue el primer papa latinoamericano?,Pío XII,Benedicto XVI,Francisco,Juan Pablo I,3
¿Cuál es la capital de Marruecos?,Marrakech,Fez,Tánger,Rabat,4
¿En qué país se encuentra el cráter de Chicxulub?,Brasil,México,Chile,Colombia,2
¿Quién escribió “La divina comedia”?,Petrarca,Boccaccio,Dante Alighieri,Machiavelo,3
¿En qué país se inventó la bicicleta?,Francia,Italia,Escocia,Inglaterra,1
¿Cuál es el país con más islas en el mundo?,Indonesia,Filipinas,Suecia,Canadá,3
¿Qué fruta tiene más potasio?,Banana,Kiwi,Naranja,Palta,1
¿Qué filósofo escribió “El contrato social”?,Kant,Hobbes,Rousseau,Locke,3
¿Cuál es el idioma oficial de Irán?,Persa,Árabe,Kurdo,Urdu,1
